source_file,holc_grade,loc_year,median,mean,min,max,std,pixel_frac,num_bounds
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYBrooklyn1938,299.038818359375,299.0794677734375,295.4745788574219,302.0367431640625,0.9793518781661988,1.0,1
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYManhattan1937,297.75629806518555,297.8606605529785,293.9273147583008,300.9328269958496,1.5006142854690552,0.9995300751879699,8
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYQueens1938,297.26593017578125,297.59979248046875,295.8935852050781,301.1943664550781,1.1660619974136353,1.0,1
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYStatenIsland1940,295.94862365722656,296.0072479248047,293.0624542236328,299.2111282348633,1.4595147520303726,1.0,4
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYBronx1938,299.1910483620384,299.04702203924006,294.50567626953125,302.805644642223,1.622912591153925,0.9995980464232929,11
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYBrooklyn1938,300.85979686063877,300.6909879796645,296.21055333754595,304.0745634191176,1.3933210092432358,0.9999238037183786,17
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYManhattan1937,298.9111633300781,298.5916976928711,292.6715799967448,302.70855204264325,2.4144637137651443,0.9930151447375271,12
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYQueens1938,298.0589384191176,298.1094378303079,295.30372888901655,301.70615162568936,1.1797237133278566,0.9842317855993126,17
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYStatenIsland1940,297.81317842923676,297.82972599909857,295.19341806265027,300.95352877103363,1.1765586596268873,1.0,13
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYBronx1938,299.7378102178159,299.65145608653194,294.98616890285325,303.7807670261549,1.5811069737309995,0.9965846842117824,23
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYBrooklyn1938,301.99743286132815,301.86699829101565,297.5314306640625,304.7741796875,1.1042299365997315,0.9960036638507616,25
